medcodeid	snomedct_conceptid	snomedct_descriptionid	term	category
1873971000006119	1873971000006103	1873971000006119	Partially breast milk feeding (6-8 week)	6wk
921151000006119	921151000006103	921151000006119	Bottle fed at 6 weeks	6wk
921181000006110	921181000006106	921181000006110	On solids at 6 weeks	6wk
2012291000006114	2012291000006105	2012291000006114	Started infant weaning at 6 weeks	6wk
1990791000006113	1990791000006109	1990791000006113	Formula fed at 6 weeks	6wk
434921000006112	170120006	263811017	6 week examination abnormal - referred	6wk
763561000006111	183628009	283760010	Follow-up 6 weeks	6wk
263637016	364771008	2771250018	Finding of infant feeding at 6 weeks	6wk
4629011000006110	169971002	263631015	Infant feeding method at 6 weeks	6wk
263632010	169971002	263632010	Infant feeding at 6 weeks	6wk
263633017	169972009	263633017	Bottle fed at 6 weeks	6wk
263634011	169973004	263634011	Breast fed at 6 weeks	6wk
525121000006117	169974005	263635012	Breast and supplement fed at 6 weeks	6wk
263636013	169975006	263636013	On solids at 6 weeks	6wk
435111000006117	170306005	264059012	8 week exam.abnormal -for obs.	6wk
435121000006113	170307001	264060019	8 week exam.abnormal -referred	6wk
435101000006115	170308006	264061015	8 week exam.abn.-on treatment	6wk
1877071000006113	1877071000006109	1877071000006113	Health visitor 6 week postnatal contact	health_visitor
1963871000006113	1963871000006109	1963871000006113	Care activity: Health Visitor Health review (6-8 weeks)	health_visitor
247810012	1052581000000109	2648971000000112	Health visitor	health_visitor
448045015	1052751000000108	2649661000000119	Under care of health visitor	health_visitor
1877571000006116	1877571000006100	1877571000006116	Health visitor visit following patient transfer into area	health_visitor
1886681000006111	837681000000107	2174581000000111	Under care of health visiting service	health_visitor
1886691000006114	837701000000109	2174621000000111	Under care of health visiting service - Universal	health_visitor
2174621000000111	837701000000109	1861621000006115	Under care of health visiting service - Universal	health_visitor
2174661000000115	837721000000100	1861641000006110	Under care of health visiting service-Universal partnership plus	health_visitor
8427121000006110	1052581000000109	2648961000000117	HV - health visitor	health_visitor
8427131000006113	1052591000000106	2649011000000113	Health visitor attends	health_visitor
4929131000006116	224534008	3084280010	"Health visitor, nurse/midwife"	health_visitor
6001871000006115	310588009	454185014	Visit by health visitor	health_visitor
2174581000000111	837681000000107	1861611000006111	Under care of health visiting service	health_visitor
2404281000000118	939111000000107	2404281000000118	Student health visitor	health_visitor
1950151000006111	1950151000006107	1950151000006111	Healthcare profession: Health Visiting	health_visitor
1563981000006114	1563981000006105	1563981000006114	Health Visiting	health_visitor
285282018	1052671000000108	2648991000000111	Seen by health visitor	health_visitor
2160031011	1052831000000107	2649851000000118	Health visitor initial visit	health_visitor
128001000027118	1716831000006105	1716831000006114	Health Visitor	health_visitor
1886711000006112	837721000000100	2174661000000115	Under care of health visiting service - Universal partnership plus	health_visitor
2160037010	408487007	2160037010	Health visitor follow up	health_visitor
4929121000006119	224534008	337582018	"Health visitors, nurses and midwives"	health_visitor
1850851000006113	1850851000006109	1850851000006113	Seen by specialist health visitor	health_visitor
1886701000006114	837711000000106	2174641000000116	Under care of health visiting service - Universal plus	health_visitor
226841000000113	166781000000101	226841000000113	Health visitor encounter following relocation	health_visitor
8453621000006114	1078501000000104	2703891000000112	Health visiting service	health_visitor
2174641000000116	837711000000106	1861631000006117	Under care of health visiting service - Universal plus	health_visitor
2234101000000113	864071000000102	2234101000000113	Seen by specialist health visitor	health_visitor
1873171000006117	1873171000006101	1873171000006117	Care contact type: health visitor	health_visitor
8274881000006111	828321000000104	2153601000000119	Health visiting	health_visitor
8049621000006115	163331000000106	214051000000117	Health Visitor Event	health_visitor
1776051000006119	1776051000006103	1776051000006119	Staff group: Health Visitor	health_visitor
250604016	1052591000000106	2651571000000112	Health visitor visits	health_visitor
8056961000006114	196991000000104	295861000000114	Health visitor child health review	health_visitor
146871000006110	1052631000000106	2649121000000115	Shared care: health visitor and general practitioner	health_visitor
